product_id,product_name,fc_number,brand,onqi,cost,margins
2350,Premium Dark Chocolate with Mint Cookie Crunch,13,Stewart's,60,7.79,62%
2352,Greek Yogurt Lemon,53,Yoplait,91,4.45,77%
2358,Blended Strawberry Lowfat Yogurt,20,Essential Everyday,98,1.84,89%
2359,Soft Cremes Butterscotch & Caramel,16,Lancaster,14,1.88,91%
2360,Porridge Heirloom Rye Rosemary Walnut Raisin,26,From the Fields,79,1.44,35%
2363,Shredded Mozzarella Cheese,20,Wooden Shoe Cheese Co.,72,4.64,60%
2366,Burrito Bean & Cheese,,Don Miguel,42,4.90,11%
2456,Red Wine Vinegar,,Great Value,18,7.79,75%
2457,Sweet Strawberry Smoothie,20,Profile,61,6.17,84%
2603,Fat Free Skim Milk,16,Kemps,35,3.61,74%
2604,Balsamic Vinaigrette,16,Meijer,47,1.21,47%
2605,Benevento Croccantino Allo Strega Chocolatey Covered Hazelnuts,53,Giuseppe Alberti Grocery,75,9.85,47%
2606,Brown Rice 14 Oz Pasta,53,Tinkyada,92,5.64,48%
2784,Chicken Sausage Burgers Hot Italian Style,38,Al Fresco,23,4.02,60%
2785,European Baguette,38,Ecce Panis,27,1.37,81%
2853,Tortilla Chips Thick & Hearty Rounds,10,Tostitos,7,1.09,61%
2854,Simply Made Cookies Butter,10,Keebler,69,7.11,19%
2856,Chicken Breast White Premium Chunk in Water,9,Swanson,45,9.07,59%
2858,Bread Premium White Enriched,40,Arnold,77,2.31,4%
2859,All Natural Chocolate Ice Cream,42,Sam's Choice,61,2.34,2%
2860,Fudge Double Filled Twist & Shout Sandwich Cookies,42,Great Value,60,3.88,68%
2861,Shredded Cheese Mozzarella,35,Andrew & Everett,20,9.58,54%
2862,Hot Dogs Savory Meatless Franks,35,Zoglo's,22,2.29,97%
2863,Cheese Italian Three Cheese,35,Kraft,89,7.14,14%
2864,Mini Omelets with Reduced Fat Cheese,35,Market Day,99,3.04,17%
2875,Fruit Drink Mixed Berry,44,Medical Weight Loss Clinic,26,5.97,48%
2876,Shredded Cheese Mild Cheddar,44,Lowes Foods,60,9.64,66%
2878,Potato Chips Fireman's BBQ Chicken,,Herr's,63,6.86,36%
2880,Trout Golden Smoked Fillets 3.75 Oz,28,Reese,19,3.28,12%
2882,Raisin Bran,28,Raisin Bran,41,7.65,24%
2883,Fancy Shredded Natural Cheese Sharp Cheddar,43,Morning Fresh Farms,81,8.98,50%
2884,Ripe Pitted Large Olives,,America's Choice,95,4.46,65%
2885,Chicken Kiev,43,Safeway Kitchens,45,6.19,23%
2886,Empanadas Beef,20,Goya,46,1.77,89%
2889,Southwestern Marinade,20,Hurricane Bay,4,8.34,57%
2890,Aged White Cheddar Popcorn,20,Popcorn Indiana,17,8.34,39%
2937,Tomatoes Whole Peeled,,Midwest Country Fare,35,5.48,7%
2941,Bologna,12,Heritage Farm,10,1.76,83%
2944,Honey Sweet Corn Bread,48,Hill Country Fare,61,7.43,21%
2996,Cheddar Cheese Twice Baked Potatoes,20,Giant,34,9.83,27%
3111,Shredded Mozzarella Cheese,33,Spartan,86,5.61,20%
3127,Energy Bar Chocolate Peanut Butter,38,Detour,63,5.12,41%
3172,100% Juice Apple,20,Juicy Juice,39,2.54,39%
3421,Frozen Smoothie Kit Blueberry Cherry Blend,38,Welch's,38,6.45,69%
3422,Milk Fat Free,38,Fair Oaks Farms,18,7.57,32%
3423,Dark Melting Wafers,38,Ghirardelli Chocolate,97,9.47,89%
3445,Red Salmon Wild Alaska Sockeye,43,Bumble Bee,14,2.48,8%
3455,Luxury Wafers,,Gold Emblem,88,4.27,97%
3528,Punch Pineapple Banana,26,Borden,50,5.06,53%
3529,Franks Wranglers Coarse Ground Cheese Smoked,26,Hormel,91,2.73,20%
3814,Extra Virgin Olive Oil,48,Meijer Organics,98,6.58,51%
3815,Garbanzo Beans,2,Truitt Brothers,15,2.75,54%
3816,Energy Drink Absolutely Zero,2,Monster,44,8.53,37%
3818,Cookie Collection Holiday Homestyle,48,Pepperidge Farm,57,3.26,6%
3859,Organic Butternut Squash Ravioli,40,Rozzana,42,5.11,79%
3878,Milk Chocolate Smooth with Caramel,7,Dove,65,1.84,60%
3903,Ricotta Lasagna,35,Roman Brand,91,2.86,30%
3916,Baked Scalloped Potatoes Sensational Sides,43,Sensational Sides,88,4.95,81%
3933,Linguine 17,26,Ronzoni,52,1.29,70%
3934,Honey Wheat Nugget Bread,26,Roma Bakery,30,8.76,98%
3950,Hazelnut Butter Blend Chocolate,53,Unknown,48,4.67,3%
3965,Popcorn Premium White Cheddarf Cheese,26,Cape Cod,21,6.81,2%
3967,Coffee Creamer Cinnamon Vanilla Lactose Free,26,Home Dairies,35,8.68,81%
3979,Prune Juice,13,Market Pantry,49,6.98,48%
3980,Ding Dongs,48,Hostess,9,1.74,69%
3981,Basil Pesto Cod,48,High Liner,20,7.52,90%
3991,Muffuletta Olive Salad Italian Style,43,Dell' Alpe,68,4.98,34%
4001,Gum Sugar Free Cool Rush,36,Trident,21,6.69,24%
4002,Bouillon Cubes Chicken Flavor,36,Herb Ox,33,5.05,59%
4058,Waffles Whole Grain,38,Kellogg's Eggo,87,1.88,53%
4061,Bread Small,25,Sunbeam,7,1.28,35%
4082,Pierogies Spinach & Feta Cheese Club Pack,29,Wegmans,9,4.71,18%
4088,Braided Pastry Strawberry & Cream Cheese,18,Butter Braid,92,4.24,49%
4089,Sparkling Probiotic Drink Coconut,19,Kevita,12,7.76,23%
4090,Pop Jumbo Cherry With Bubble Gum Filling,18,De La Rosa,15,5.83,78%
4097,TruMoo Chocolate Lowfat Milk,5,Dean's,26,3.46,57%
4101,Mini Bagels Plain,14,Thomas',88,9.85,1%
4102,Cream Cheese Spread & Greek Nonfat Yogurt Greek,14,Essential Everyday,71,5.51,80%
4103,Organic Yogurt Whole Milk Vanilla,14,Horizon Organic,36,9.63,6%
4111,Fat Free Milk Vitamin A & D,,365 Everyday Value,82,4.08,71%
4138,Juice Superfruit Acerola W/Mango,,Bossa Nova,87,5.40,81%
4145,Light Cream,7,Tops,16,8.21,73%
4148,Bar Koka Moka,,ProBar,21,8.61,53%
4149,Pizza White Garlic,,Butch's,56,6.23,44%
4154,Soda,,7-Up,22,5.02,61%
4155,Spicy Pickles in Pretzel Coating,53,Appetitos,98,4.29,53%
4156,Organic Yellow Cling Sliced Peaches,53,Sprout Farmers Market,75,1.10,6%
4162,Beef Jerky Teriyaki,26,Oh Boy Oberto,40,4.53,78%
4163,Smoothie Tropical Passion,26,Hansen's,13,5.57,2%
4166,Razz-Ade,38,jammin Nectars,43,6.35,69%
4167,Simmer Sauce Butter Chicken,48,Hy-Vee,69,1.24,55%
4177,Peanut Butter Powder,38,Rainbow Acres Natural Food,82,1.59,52%
4178,Double Chocolate Muffin,38,Weight Watchers,52,1.91,23%
4179,Trail Mix Premium Cookies,38,Sun-Maid,68,1.94,31%
4181,Oatmeal Toasters Cranberry Orange,,Nature's Own,62,3.79,96%
4192,Authentic Red Beans & Rice,42,Vigo,77,9.09,34%
4193,Enrichie Vanille,42,Rice Dream,60,5.74,60%
4196,Fruit'n Yogurt Snacks Blueberry,44,Welch's,39,7.10,26%
4198,Assorted Lollies,38,Eillien's,80,8.48,69%
4199,Milk Sweetened Condensed Low Fat,13,Eagle Brand,56,5.04,91%
4200,Michigan Russet Potatoes,13,Old Oak Farms,13,8.51,89%
4201,Stuffed Ham and Swiss Chicken Burgers,48,M&M Meat Shops,15,6.42,15%
4202,Bagel Crisps Roasted Garlic,35,New York Style,57,5.81,71%
4203,Fruit Salad Tropical,35,Food Club,9,3.60,32%
4207,1% Lowfat Milk,35,Martin's,78,3.59,54%
4209,Tri-Color Cheese Tortellini,16,Pasta Factory,96,6.99,94%
